OI番号,原文,日時,ClaudeセッションID,発言種別,対応録画JSON,報告BUILD,原因,修正BUILD,修正commit,回帰テスト名,現在の判定,備考
OI-001,野球ゲームを作りたいです,2026-07-31T07:34:49.031Z,bf4fbe1e,queued_command/queue-operation,UNKNOWN（本文に録画言及なし）,UNKNOWN,2Dの `baseball.html` を作成。要検証（現行は 3D 版のため実質置換）。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=解決 / Ultra=所見6/所見19,文書(charter/master)への言及commit: 07513995; a71e3143; 22362508; fb4937df; 1dcaf11a; dbf2604b
OI-002,ここから動きません,2026-07-31T08:19:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=判定不能,文書(charter/master)への言及commit: 07513995
OI-003,もっと本格的な3dゲームを作って,2026-07-31T09:47:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,`baseball3d.html` を新規作成。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-004,相手が強すぎる,2026-07-31T09:59:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-005,画面が見切れている,2026-07-31T09:59:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-006,変化球がちゃんと変化していない,2026-07-31T09:59:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-007,ファーストとサード、セカンドとショート、ライトとレフトが逆になっています,2026-07-31T09:59:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-008,全体的に粗すぎるのでちゃんと精査して,2026-07-31T09:59:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"この時点での精査を実施。以後も繰り返し同種の要求が出る（OI-050, OI-160, OI-185）。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=未解決 / Ultra=所見6/所見16/所見19,文書(charter/master)への言及commit: 07513995
OI-009,バッティングが難しすぎます / 高低が予測できず完全に運です,2026-07-31T10:04:00+09:00（推定・本文ヘッダより）,UNKNOWN,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-010,ボールが早すぎます,2026-07-31T10:08:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
